=== 20251229_132815_Albums_Top200_1Years_ByTracks.txt ===

                                                                               album  total_tracks  total_duration_ms  total_duration_hours
                                                                             Unknown          1356          432259434                 120.1
                                                                   The Joy of Motion           189           11658339                   3.2
                                                          Remember That You Will Die           169           14085485                   3.9
                                                                           Colors II           159           61454539                  17.1
                                                                           Parrhesia           150           19108991                   5.3
                                                                             Pleroma           147           48119378                  13.4
                                                                              Colors           136           54655238                  15.2
                                                                       Coma Ecliptic           120           38800262                  10.8
                                                                    The Amensal Rise           117           64153609                  17.8
                                                             Where Owls Know My Name           115           37761990                  10.5
                                                    The Parallax II: Future Sequence           112           39224660                  10.9
                                                                             Fiction           102            6854667                   1.9
                                                                     Suffer & Become           102           28975893                   8.0
                                                              Stranger Heads Prevail            98           27961441                   7.8
                                                                        The Mountain            91           12875961                   3.6
                                                                               Fauna            86           16694295                   4.6
                                                                         Multiversal            86           28695036                   8.0
                                                                    The Ossuary Lens            85           24624399                   6.8
                                                     Charcoal Grace (Deluxe Edition)            83           26881000                   7.5
                                                               New Levels New Devils            83           12312494                   3.4
                                                                               Bloom            82           14971572                   4.2
                                                              Of Spectres and Strife            82           24166408                   6.7
                                                                           Remind Me            79            6575450                   1.8
                                                    Periphery III: Select Difficulty            78           16633947                   4.6
                                                Through the Mountains of Melancholia            78           22740686                   6.3
                                                                 The Great Misdirect            77           40570709                  11.3
                                                             Periphery IV: HAIL STAN            77           23551174                   6.5
                                                                            The Work            76           25649638                   7.1
                                                                 The Madness of Many            76                  0                   0.0
                                                                   Juggernaut: Alpha            75            9953218                   2.8
                                                 Rise Radiant (Bonus Tracks Version)            74           20240386                   5.6
                                                                          Automata I            74           24185848                   6.7
                                                                         Terraformer            72           17170735                   4.8
                                                            Of Valleys and Mountains            72           21532292                   6.0
                                                                                  II            72            8199323                   2.3
                                                                    The Blue Nowhere            72           31638166                   8.8
                                                                          Datalysium            72           20266419                   5.6
                                                                                 Zon            71           31515054                   8.8
                                                                         Moon Healer            70           18597642                   5.2
                                                                      Cyberstrictive            69           17893787                   5.0
                                                                          Abhorrence            68           13050310                   3.6
                                                                          Palimpsest            67            7184643                   2.0
                                                           Chapter One: Shredemption            66            2528000                   0.7
                                                                              DAMNUM            66           15962048                   4.4
                                                                 The Madness Of Many            65           21411300                   5.9
                                                                        The Observer            65            5548449                   1.5
                                                                    Gloire Éternelle            64           29405357                   8.2
                                                                          Changeling            64           23219795                   6.4
                                                                     Rivers of Nihil            63           19379330                   5.4
                                                  Violent Portraits of Doomed Escape            62           20765416                   5.8
                                                                   Dragon in Harmony            62           11272664                   3.1
                                                   Periphery V: Djent Is Not A Genre            62           28920691                   8.0
                                                                 Memories Fragmented            61           12923361                   3.6
