Artist,Tracks,Hours,Genres
Rush,1116,14.10,rock|progressive rock|heavy metal|metal|canadian|hard rock|canada|uplifting|progressive|fantasy|classic rock|album rock|pop rock|space|english|technical|aor|heavy prog|classic pop and rock|philosophical|complex|energetic|science fiction|progressive pop|introspective|favoritos
Between the Buried and Me,994,110.60,mathcore|progressive metalcore|metalcore|progressive metal|progressive-metal / metalcore|metal
Ratatat,616,1.90,américain|usa|american|new rave|alternative dance|hip hop|producteur|electronic|indietronica|neo-psychedelia|compositeur|producer|composer|electronic rock|indie|alternative|instrumental
Polyphia,612,5.20,progressive rock|instrumental|progressive metal|math rock|hard rock|djent|math metal|trap edm
Animals as Leaders,594,15.80,instrumental|progressive metal|experimental|djent
Periphery,486,29.20,progressive metal|djent|math metal|technical metal|alternative metal|metalcore
Run the Jewels,404,1.90,hip hop|hip-hop|experimental hip hop|political hip hop|hardcore hip hop|conscious hip hop
Caligula’s Horse,366,27.90,progressive rock|progressive metal
King Gizzard & the Lizard Wizard,354,4.10,progressive rock|heavy metal|thrash metal|australian|experimental|hard rock|synth-pop|jazz rock|lo-fi|psychedelic rock|psychedelic|psychedelic pop|garage rock|neo-psychedelia|surf rock|boogie rock|australia|heavy psych|spotify boycott
Noisia,338,0.50,electro house|edm|neurofunk|drum and bass|electronic|halftime|dance and electronica|dubstep
Gramatik,335,0.00,electronic|glitch hop|chill-out|electronica|boom bap|hip hop|trip hop|instrumental hip hop|boozoo bajou|blues|funk|jazz|soul|electronic music
Rivers of Nihil,323,28.20,progressive metal|death metal|technical death metal|progressive death metal
GRiZ,318,0.80,funk|trip hop|electro-soul|electronic|future-funk
Tool,311,4.60,rock|electronic|alternative rock|progressive rock|90s|progressive metal|metal|american|math rock|hard rock|usa|progressive|melodic|psychedelic rock|art rock|alternative metal|post-metal|california|los angeles|00s|united states|drugs|classic metal|10s|headphones|pretentious|estados unidos|hard alternative
Reso,309,1.20,dubstep
Haken,292,15.20,heavy prog|progressive|metal|progressive metal|avant-garde metal|progressive rock
Thank You Scientist,279,14.70,rock|progressive rock|experimental|funk|jazz fusion|crossover prog|swancore
Coheed and Cambria,277,13.90,progressive metal|new prog|progressive rock|alternative rock
Led Zeppelin,276,1.30,rock|progressive rock|heavy metal|folk|metal|american|blues|british|uk|band|hard rock|usa|folk rock|blues rock|américain|classic rock|pop rock|arena rock|british blues|english|zoo|film soundtrack|classic pop and rock|led zeppelin|persistence|want to listen|prog related|reino unido
alt‐J,270,0.10,alternative rock|british|indie rock|indie|alternative|blues rock|art rock|indie pop|experimental rock|trip hop|indietronica|folktronica|electronic rock|2010s|art pop
Meshuggah,251,18.10,progressive metal|thrash metal|metal|death metal|technical metal|rock and indie|djent|math metal|technical prog metal
Aphex Twin,232,0.90,electronic|breakcore|instrumental|ambient|experimental|british|idm|uk|techno|electronica|breakbeat|producer|musician|electroacoustic|ambient techno|glitch|english|warp|remixer|drill and bass|rock and indie|modern classical|braindance|experimental electronic|acid techno|progressive techno|aphex twin|bleep techno|acid breaks|server name
Fallujah,227,16.50,progressive metal|progressive death metal|technical death metal|death metal|deathcore
Allegaeon,226,17.20,melodic death metal|progressive metal|metal|death metal|technical death metal|progressive death metal|philosophy|science fiction|civilization
Emancipator,206,0.30,trip-hop|downtempo|ambient|electronica|chill-out|trip hop
Syncatto,203,4.30,Unknown
Kendrick Lamar,200,0.90,pop|rap|hip hop|funk|gangsta rap|pop rap|neo soul|alternative hip hop|experimental hip hop|west coast hip hop|boom bap|r&b|2010s|jazz rap|conscious hip hop|political hip hop|hardcore hip hop|trap|relic inn|2020s
Nine Inch Nails,198,1.40,rock|electronic|synthpop|alternative rock|industrial|industrial rock|creative commons|industrial metal|american|usa|indie rock|alternative|américain|experimental rock|alternative metal|electro-industrial|post-industrial|alternative dance|bootleg|rock and indie|n3|free culture|libre|2008 universal fire victim
CAKE,198,0.50,rock|alternative rock|american|indie rock|funk rock|alt-country|college rock|pop rock|rock and indie|lo-fi indie
Unprocessed,198,5.00,progressive metal|metal|metalcore|math rock|djent
Amon Tobin,197,0.70,trip-hop|electronic|downtempo|drum and bass|jungle|dubstep|instrumental|ambient|british|idm|electro|hip hop|uk|brazilian|bass|electronica|english|trip hop|nu jazz|grime|club|ninja tune|drill and bass|dance and electronica|soundtracks|experimental electronic|stage & screen|instrumental hip hop|deep dubstep|trap|collage|future bass
Protest the Hero,191,6.40,progressive metal|metalcore|canadian|math rock|mathcore|progressive metalcore
CloZee,186,1.40,electronic|chillout
Daft Punk,185,0.70,electronic|synthpop|french|dance|house|vocoder|funk|disco|favourite|tech house|film score|wp musicians|electroclash|european|electro house|french touch|french house|dance and electronica|thomas bangalter|nu-disco|french electro
DJ Shadow,184,0.60,trip-hop|electronic|downtempo|american|hip-hop|experimental|hip hop|usa|electronica|composer|américain|turntablism|trip hop|compositeur|rock and indie|experimental hip hop|ambient breakbeat|instrumental hip hop|bay area rap|2008 universal fire victim|left-field rap
Phantogram,182,0.50,electronic|indietronica|glitch pop|electropop|pop rap|ambient pop|indie pop
Mastodon,181,13.50,heavy metal|progressive metal|metal|american|hard rock|stoner metal|alternative metal|groove metal|sludge metal|sludge|rock and indie
Jakub Żytecki,178,3.30,progressive metal|djent|ambient|instrumental|jazz
Obscura,174,14.90,progressive metal|metal|german|technical death metal|death metal|jazz metal|progressive death metal
GUNSHIP,174,1.40,synth-pop|synthpop|synthwave
Muse,169,0.60,political|rock|electronic|synthpop|alternative rock|progressive rock|metal|british|uk|britannique|indie rock|funk rock|alternative|melodic|electropop|producer|art rock|post-grunge|alternative metal|pop rock|symphonic rock|neo-progressive rock|alternative dance|space|new prog|english|england|united kingdom|producteur|funky|muse|rock and indie|alternative-rock|male|eclectic|best|science fiction|groovy|anthemic|anxious|alternative progressive|prog related
Glass Animals,167,0.00,trip-hop|electronic|pop|uk|indie rock|indie|psychedelic rock|indie pop|psychedelic pop|english|indietronica|englisch|the sims
Omnerod,166,23.30,ambient|progressive metal|metal|death metal|progressive death metal
Orgone,165,15.10,funk|gogo|dance|afrobeat|rock|soul|disco
Artificial Language,165,5.30,djent|progressive rock|progressive metal
Perturbator,160,0.90,electronic|soundtrack|industrial|post-punk|synth|goth|ebm|electronic music|darkwave|dark|atmospheric|coldwave|synthwave|hotline miami|phychodelic|vintage synths|darksynth|new retro wave|retrowave|syntwave
Their Dogs Were Astronauts,159,3.00,progressive metal|djent|metal|ambient|instrumental
edIT,157,1.60,glitch|electronic
The Black Keys,157,0.40,rock|alternative rock|blues|indie rock|indie|blues rock|garage rock revival|garage rock|rock and indie|punk blues
The Ocean,156,10.70,post-rock|progressive metal|metal|experimental|sludge metal|post-metal|sludge|atmospheric sludge metal|progressive/atmospheric/sludge-metal / post-hardcore
The Glitch Mob,151,0.00,electronic|drum and bass|electronica|idm|industrial|glitch
Psycroptic,141,9.30,metal|death metal|australian|death|technical death metal|fantasy|brutal death metal|politics|metaphysical anomalies
Stan Kenton,140,2.10,jazz|swing|cool jazz
Lemaitre,140,0.10,Unknown
Tame Impala,139,0.00,synthpop|alternative rock|australian|perth|indie rock|remix|synth-pop|psychedelic rock|psychedelic|favourite|leftfield|psychedelic pop|space rock|neo-psychedelia|dream pop|australia|indietronica|cover|chill|dance music|psychedellic rock|psicodelic rock
Big Wild,138,0.50,electronic|electropop
Gojira,135,8.60,heavy metal|melodic death metal|french|progressive metal|thrash metal|metal|death metal|france|usa|heavy|technical death metal|alternative metal|avant-garde metal|progressive death metal|groove metal|english|post-metal|technical|pennsylvania|extreme progressive metal|atmospheric|united states|djent|groovy|technical groove metal|polyrhythm|progressive groove metal
RJD2,135,0.00,electronic|pop|american|hip-hop|hip hop|leftfield|acid jazz|trip hop|indietronica|instrumental hip hop
The Crystal Method,134,0.00,electronic|big beat|electronica|breakbeat
Arch Echo,132,3.60,rock|progressive rock|instrumental|progressive metal|metal|jazz fusion
Born of Osiris,132,6.10,progressive metal|metalcore|death metal|deathcore
First Fragment,132,15.50,neoclassical metal|progressive metal|progressive death metal|death metal|brutal technical death metal|flamenco|technical death metal
Vildhjarta,127,8.20,progressive metal|metal|djent|math metal|thall
Igorrr,124,4.00,trip-hop|electronic|breakcore|death metal|experimental|idm|alternative|electronic music|baroque|avant-garde metal|avant-garde|http://web.archive.org/web/20131223235250/http://en.wikipedia.org/wiki/igorrr|electronic grind
Jacob Banks,122,0.10,Unknown
ÆkaSora,122,0.00,Unknown
Covet,122,1.40,post-rock|math rock
Plini,121,2.00,progressive rock|instrumental|progressive metal|australian|math rock|fusion|instrumental rock|jazz fusion|ethereal|australia|technical|atmospheric|happy|djent|happy proggressive metal
