=== 20251229_132815_Artists_TopLiked_AllTime_ByLikes.txt ===

                               artist  unique_likes  total_liked_listens
            Between the Buried and Me            38                  451
                      Rivers of Nihil            21                  197
                            Periphery            17                  145
                            Allegaeon            15                  106
              The World Is Quiet Here            14                   81
                  Thank You Scientist            12                   94
                 Black Crown Initiate            12                   64
                     Caligula’s Horse            11                  128
                   Animals as Leaders            10                  183
                              Omnerod            10                  126
                             Fallujah            10                   69
                               Inferi            10                   45
                                 Rush             9                  157
                               Orgone             9                  105
                            Meshuggah             9                   58
                                Death             9                   44
                              Obscura             9                   31
                            Soreption             8                   34
                              Vitriol             7                   86
                                 Tool             7                   82
                         Atomic Guava             7                   49
                           Psycroptic             7                   41
                         Ok Goodnight             7                   25
                              Gorguts             7                   17
                           Revocation             7                   17
                              Slugdge             7                   16
                            Stortregn             7                   16
                                Haken             6                   66
                             Ulcerate             6                   38
                            Greylotus             6                   37
                            Archspire             6                   32
                               Igorrr             6                   29
                     Shadow of Intent             6                   26
                           Vildhjarta             6                   20
                              Voyager             6                   18
                   Coheed and Cambria             6                   14
                             Exocrine             6                   13
                              Apogean             5                   35
                  Cattle Decapitation             5                   30
                    Pull Down The Sun             5                   30
                           Ophidian I             5                   24
                              In Vain             5                   23
                            Replicant             5                   22
                     Fractal Universe             5                   21
                       Retromorphosis             5                   20
                  The Callous Daoboys             5                   20
                          Sallow Moth             5                   19
                             Wayfarer             5                   19
                                HELGA             5                   18
                              Exuvial             5                   16
                          Rototypical             5                   16
                             Alkaloid             5                   10
                             Polyphia             4                  113
                                 Reso             4                  113
                                 edIT             4                   51
               Unhallowed Deliverance             4                   42
                        Jakub Żytecki             4                   37
                           Changeling             4                   30
             Subterranean Lava Dragon             4                   29
                             Synaptic             4                   28
                     The Beast of Nod             4                   25
                          Dessiderium             4                   22
                               Gojira             4                   21
                     Protest the Hero             4                   21
                         Ominous Ruin             4                   20
                           Moon Tooth             4                   18
                              Aquilus             4                   17
                             Wilderun             4                   15
                       Dormant Ordeal             4                   14
                    Twelve Foot Ninja             4                   11
                                Gorod             4                   10
                       Born of Osiris             4                    9
                         Venom Prison             4                    9
                 Horror of Pestilence             4                    8
                  Spawn of Possession             4                    7
                        Billy Strings             4                    6
                            BABYMETAL             4                    5
                       Thy Catafalque             4                    5
                                FROGG             4                    4
                            Kardashev             4                    4
                              Ratatat             3                   72
                       Run the Jewels             3                   54
                           Aphex Twin             3                   30
                      I Built The Sky             3                   19
                   The Zenith Passage             3                   19
                            Obsidious             3                   16
                                 CAKE             3                   14
                            Equipoise             3                   12
                          Johnny Cash             3                   12
                   The Human Abstract             3                   12
                             Wretched             3                   11
                          Perturbator             3                    8
                               Augury             3                    7
                            Lady Gaga             3                    7
                              Leprous             3                    7
                           Moontricks             3                    7
                        Vale of Pnath             3                    7
                     Within the Ruins             3                    7
                                Lowen             3                    6
                       Porcupine Tree             3                    6
                          Lamb of God             3                    5
                             Carnosus             3                    4
                          Ephel Duath             3                    4
                            Greyhaven             3                    4
Professor Caffeine & the Insecurities             3                    4
                      Swallow the Sun             3                    4
                            clipping.             3                    4
                              Doechii             3                    3
